Time,Open,High,Low,Last,Change,%Chg,Volume
03/12/2021,3924.52,3944.99,3915.21,3943.34,4,+0.10%,0
03/11/2021,3915.54,3960.27,3915.54,3939.34,40.53,+1.04%,0
03/10/2021,3900.99,3917.35,3885.73,3898.81,23.37,+0.60%,0
03/09/2021,3851.93,3903.76,3851.93,3875.44,54.09,+1.42%,0
03/08/2021,3844.39,3881.06,3819.25,3821.35,-20.59,-0.54%,0
03/05/2021,3793.58,3851.69,3730.19,3841.94,73.47,+1.95%,0
03/04/2021,3818.53,3843.67,3723.34,3768.47,-51.25,-1.34%,0
03/03/2021,3863.99,3874.12,3819.14,3819.72,-50.57,-1.31%,0
03/02/2021,3903.64,3906.41,3868.57,3870.29,-31.53,-0.81%,0
03/01/2021,3842.51,3914.5,3842.51,3901.82,90.67,+2.38%,0
02/26/2021,3839.66,3861.08,3791.16,3811.15,-18.19,-0.48%,0
02/25/2021,3915.8,3924.19,3814.04,3829.34,-96.09,-2.45%,0
02/24/2021,3873.71,3928.65,3859.6,3925.43,44.06,+1.14%,0
02/23/2021,3857.07,3895.98,3807.18,3881.37,4.87,+0.13%,0
02/22/2021,3885.55,3902.92,3874.71,3876.5,-30.21,-0.77%,0
02/19/2021,3921.16,3930.41,3903.07,3906.71,-7.26,-0.19%,0
02/18/2021,3915.86,3921.98,3885.03,3913.97,-17.36,-0.44%,0
02/17/2021,3918.5,3933.61,3900.43,3931.33,-1.26,-0.03%,0
02/16/2021,3939.61,3950.43,3923.85,3932.59,-2.24,-0.06%,0
02/12/2021,3911.65,3937.23,3905.78,3934.83,18.45,+0.47%,0
02/11/2021,3916.4,3925.99,3890.39,3916.38,6.5,+0.17%,0
02/10/2021,3920.78,3931.5,3885.06,3909.88,-1.35,-0.03%,0
02/09/2021,3910.49,3918.35,3902.94,3911.23,-4.36,-0.11%,0
02/08/2021,3892.59,3915.77,3892.59,3915.59,28.76,+0.74%,0
02/05/2021,3878.3,3894.56,3874.93,3886.83,15.09,+0.39%,0
02/04/2021,3836.66,3871.84,3836.66,3871.74,41.57,+1.09%,0
02/03/2021,3840.27,3847.51,3816.68,3830.17,3.86,+0.10%,0
02/02/2021,3791.84,3843.09,3791.84,3826.31,52.45,+1.39%,0
02/01/2021,3731.17,3784.32,3725.62,3773.86,59.62,+1.61%,0
01/29/2021,3778.05,3778.05,3694.12,3714.24,-73.14,-1.93%,0
01/28/2021,3755.75,3830.5,3755.75,3787.38,36.61,+0.98%,0
01/27/2021,3836.83,3836.83,3732.48,3750.77,-98.85,-2.57%,0
01/26/2021,3862.96,3870.9,3847.78,3849.62,-5.74,-0.15%,0
01/25/2021,3851.68,3859.23,3799.15,3855.36,13.89,+0.36%,0
01/22/2021,3844.24,3852.31,3830.41,3841.47,-11.6,-0.30%,0
01/21/2021,3857.46,3861.45,3845.05,3853.07,1.22,+0.03%,0
01/20/2021,3816.22,3859.75,3816.22,3851.85,52.94,+1.39%,0
01/19/2021,3781.88,3804.53,3780.37,3798.91,30.66,+0.81%,0
01/15/2021,3788.73,3788.73,3749.62,3768.25,-27.29,-0.72%,0
01/14/2021,3814.98,3823.6,3792.86,3795.54,-14.3,-0.38%,0
01/13/2021,3802.23,3820.96,3791.5,3809.84,8.65,+0.23%,0
01/12/2021,3801.62,3810.78,3776.51,3801.19,1.58,+0.04%,0
01/11/2021,3803.14,3817.86,3789.6,3799.61,-25.07,-0.66%,0
01/08/2021,3815.05,3826.69,3783.6,3824.68,20.89,+0.55%,0
01/07/2021,3764.71,3811.55,3764.71,3803.79,55.65,+1.48%,0
01/06/2021,3712.2,3783.04,3705.34,3748.14,21.28,+0.57%,0
01/05/2021,3698.02,3737.83,3695.08,3726.86,26.21,+0.71%,0
01/04/2021,3764.61,3769.44,3662.71,3700.65,-55.42,-1.48%,0
12/31/2020,3733.27,3758.48,3726.88,3756.07,24.03,+0.64%,0
12/30/2020,3736.19,3744.63,3730.21,3732.04,5,+0.13%,0
12/29/2020,3750.01,3756.12,3723.31,3727.04,-8.32,-0.22%,0
12/28/2020,3723.03,3740.51,3723.03,3735.36,32.3,+0.87%,0
12/24/2020,3694.03,3703.82,3689.32,3703.06,13.05,+0.35%,0
12/23/2020,3693.42,3711.24,3689.28,3690.01,2.75,+0.07%,0
12/22/2020,3698.08,3698.26,3676.16,3687.26,-7.66,-0.21%,0
12/21/2020,3684.28,3702.9,3636.48,3694.92,-14.49,-0.39%,0
12/18/2020,3722.39,3726.7,3685.84,3709.41,-13.07,-0.35%,0
12/17/2020,3713.65,3724.9,3710.87,3722.48,21.31,+0.58%,0
12/16/2020,3696.25,3711.27,3688.57,3701.17,6.55,+0.18%,0
12/15/2020,3666.41,3695.29,3659.62,3694.62,47.13,+1.29%,0
12/14/2020,3675.27,3697.61,3645.84,3647.49,-15.97,-0.44%,0
12/11/2020,3656.08,3665.91,3633.4,3663.46,-4.64,-0.13%,0
12/10/2020,3659.13,3678.49,3645.18,3668.1,-4.72,-0.13%,0
12/09/2020,3705.98,3712.39,3660.54,3672.82,-29.43,-0.79%,0
12/08/2020,3683.05,3708.45,3678.83,3702.25,10.29,+0.28%,0
12/07/2020,3694.73,3697.41,3678.88,3691.96,-7.16,-0.19%,0
12/04/2020,3670.94,3699.2,3670.94,3699.12,32.4,+0.88%,0
12/03/2020,3668.28,3682.73,3657.17,3666.72,-2.29,-0.06%,0
12/02/2020,3653.78,3670.96,3645.08,3669.01,6.56,+0.18%,0
12/01/2020,3645.87,3678.45,3645.87,3662.45,40.82,+1.13%,0
11/30/2020,3634.18,3634.18,3594.39,3621.63,-16.72,-0.46%,0
11/27/2020,3638.55,3644.31,3629.33,3638.35,8.7,+0.24%,0
11/25/2020,3635.5,3635.5,3617.76,3629.65,-5.76,-0.16%,0
11/24/2020,3594.52,3642.31,3594.52,3635.41,57.82,+1.62%,0
11/23/2020,3566.82,3589.81,3552.77,3577.59,20.05,+0.56%,0
11/20/2020,3579.31,3581.23,3556.85,3557.54,-24.33,-0.68%,0
11/19/2020,3559.41,3585.22,3544.82,3581.87,14.08,+0.39%,0
11/18/2020,3612.09,3619.09,3567.33,3567.79,-41.74,-1.16%,0
11/17/2020,3610.31,3623.11,3588.68,3609.53,-17.38,-0.48%,0
11/16/2020,3600.16,3628.51,3600.16,3626.91,41.76,+1.16%,0
